Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation totale
Santé;40,4;81,1;APNESOMMEIL;121.5
Santé;25,0;25,0;APNESOMMEIL;50.0
Congélateur;886,3;898,2;ARMOIRE;1784.5
Congélateur;701,1;766,0;ARMOIRE;1467.1
Congélateur;626,9;639,1;ARMOIRE;1266.0
Congélateur;636,7;521,4;ARMOIRE;1158.1
Congélateur;441,5;449,0;ARMOIRE;890.5
Congélateur;589,8;201,1;ARMOIRE;790.9
Congélateur;388,0;372,2;ARMOIRE;760.2
Congélateur;303,3;319,1;ARMOIRE;622.4000000000001
Congélateur;201,3;409,0;ARMOIRE;610.3
Congélateur;295,0;312,1;ARMOIRE;607.1
Congélateur;267,4;271,3;ARMOIRE;538.7
Congélateur;308,2;222,7;ARMOIRE;530.9
Congélateur;259,6;268,3;ARMOIRE;527.9000000000001
Congélateur;262,7;258,5;ARMOIRE;521.2
Congélateur;237,9;242,3;ARMOIRE;480.20000000000005
Congélateur;235,0;241,6;ARMOIRE;476.6
Congélateur;231,3;228,2;ARMOIRE;459.5
Congélateur;220,8;206,7;ARMOIRE;427.5
Congélateur;225,0;182,4;ARMOIRE;407.4
Congélateur;166,8;196,6;ARMOIRE;363.4
Congélateur;115,9;208,8;ARMOIRE;324.70000000000005
Congélateur;169,2;150,3;ARMOIRE;319.5
Congélateur;162,2;155,7;ARMOIRE;317.9
Congélateur;152,8;163,7;ARMOIRE;316.5
Congélateur;30,8;210,2;ARMOIRE;241.0
Congélateur;113,3;122,1;ARMOIRE;235.39999999999998
Congélateur;109,1;98,2;ARMOIRE;207.3
Congélateur;109,0;80,0;ARMOIRE;189.0
Nettoyage_sols;33,9;35,4;ASPIRATEUR CENTRALISÉ;69.3
Nettoyage_sols;7,9;5,6;ASPIRATEUR CENTRALISÉ;13.5
Nettoyage_sols;51,4;39,3;ASPIRATEUR FILAIRE;90.69999999999999
Nettoyage_sols;15,7;15,0;ASPIRATEUR FILAIRE;30.7
Nettoyage_sols;3,3;3,1;ASPIRATEUR FILAIRE;6.4
Nettoyage_sols;6,3;12,1;ASPIRATEUR RECHARGEABLE;18.4
Nettoyage_sols;8,2;8,9;ASPIRATEUR RECHARGEABLE;17.1
Nettoyage_sols;7,1;3,4;ASPIRATEUR RECHARGEABLE;10.5
Nettoyage_sols;3,4;6,2;ASPIRATEUR RECHARGEABLE;9.6
Nettoyage_sols;3,3;5,3;ASPIRATEUR RECHARGEABLE;8.6
Nettoyage_sols;2,9;3,7;ASPIRATEUR RECHARGEABLE;6.6
Nettoyage_sols;0,9;0,8;ASPIRATEUR RECHARGEABLE;1.7000000000000002
Nettoyage_sols;19,5;19,9;ASPIRATEUR ROBOT;39.4
Nettoyage_sols;17,7;13,3;ASPIRATEUR ROBOT;31.0
Nettoyage_sols;8,6;3,5;ASPIRATEUR ROBOT;12.1
Nettoyage_sols;3,9;2,2;ASPIRATEUR ROBOT;6.1
Nettoyage_sols;3,3;0,7;ASPIRATEUR À MAIN;4.0
Périph_info_bureautique;12,0;12,5;ASSISTANT VOCAL;24.5
Loisirs;24,8;27,3;Adoucisseur;52.1
Loisirs;13,4;14,8;Adoucisseur;28.200000000000003
Loisirs;688,3;953,7;Aquarium avec chauffage;1642.0
Loisirs;759,8;794,9;Aquarium avec chauffage;1554.6999999999998
Loisirs;52,7;37,6;Aquarium juste pompe;90.30000000000001
Divers cuisine;1,2;1,6;BLENDER;2.8
Loisirs;36,8;38,3;Balneo;75.1
